"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,1,1,2,3,3,3,3,4,4,5,4,4,4,4,4,4,4,4,4,5,7,8,8,8,7,9,9,11,11,11,13,18,20,26,28,34,48,55,62,67,78,99,115,122,122,125,121,120,113,114,106,92,84,80,75,63,45,27,22,23,19,21,21,23,21,21,24,28,27,28,35,38,39,41,44,49,53,62,71,83,100,134,157,192,221,244,268,279,295,309,315,324,326,335,348,345,323,312,291,280,261,252,263,261,267,281,285,302,304,311,336,364,406,457,505,564,614,707,812,918,1000,1084,1173,1285,1369,1443,1516,1560,1615,1657,1714,1738,1716,1698,1646,1622,1608,1585,1545,1505,1468,1444,1409,1377,1360,1314,1291,1252,1200,1182,1150,1134,1097,1078,1063,1072,1032,1020,1001,995,979,978,982,988,985,1020,1011,1016,1010,996,977,1007,1046,1087,1124,1185,1241,1344,1431,1559,1655,1773,1883,1995,2136,2292,2428,2580,2675,2730,2807,2915,2960,3063,3011,2898,2732
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,4,4,6,7,7,6,6,6,6,10,11,11,13,13,13,11,12,13,13,17,23,26,28,28,27,30,37,37,41,44,46,49,47,52,50,47,48,50,52,50,47,41,41,37,37,37,36,36,31,31,30,27,25,25,26,26,27,25,26,24,22,21,20,21,20,19,22,20,17,16,15,14,17,19,18,18,17,20,19,18,19,16,19,21,23,26,26,26,23,23,23,24,22,23,24,22,23,21,20,21,25,27,28,34,36,41,42,42,43,43,45,46,45,48,48,41,41,43,40,40,38,39,40,39,44,45,46,49,51,49,53,55,53,55,62,62,64,71,78,79,81,80,81,80,85,86,89,102,123,133,140,167,179,183,207,255,289,310,342,393,424,456,453,443,432,430,415,401,398,384,347,317,306,288,243,213,182,182,174,175,169,159,160,164,154,145,141,133,118,114,116,119,109,106,103,105,101,100,93,93,95,96,100,105,110,112,117,123,135,145,150,185,217,253,288,296,310,323,327,318,316,302,293,277,266,261,225,188,147,107,94,77,57,46,42,34,32,34,35,32,29,29,29,29,28,26,26,23,23,23,23,24,26,25,37,39,40,44,46,50,49,48,49,47,47,47,45,42,42,29,27,26,20,17,13,12,14,14,14,13,13,16,14,14,13,13,11,12,11,10,10,8,8,8,8
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,5,7,12,13,14,14,16,20,21,25,28,30,37,40,41,41,40,36,38,39,39,41,39,40,41,43,42,37,36,36,36,38,38,37,38,37,33,31,28,25,21,20,18,18,18,16,15,15,15,14,14,17,19,19,17,17,18,20,18,17,19,18,18,16,16,16,14,14,15,15,16,15,15,16,18,19,21,22,23,22,23,22,23,24,24,25,28,28,31,32,32,30,32,38,40,44,53,52,61,67,69,69,78,81,81,84,90,96,94,105,105,107,117,115,125,136,152,155,158,168,173,195,215,239,251,286,303,315,355,372,388,397,409,448,479,527,541,556,563,606,610,614,648,642,660,672,714,734,729,743,746,767,778,811,803,838,894,946,989,1072,1129,1166,1254,1363,1444,1525,1616,1737,1815,1922,2044,2245,2329,2468,2552,2709,2805,2976,3079,3139,3211,3298,3357,3431,3512,3566,3511,3540,3554,3578,3640,3717,3689,3644,3747,3833,3854,3881,3924,3929,3884,3979,4085,4169,4215,4255,4291,4312,4402,4472,4604,4679,4877,4975,5113,5310,5373,5433,5491,5630,5668,5599,5585,5625,5561,5406,5378,5173,5050,4892,4733,4498,4360,4245,4025,3815,3705,3594,3403,3251,3165,2981,2853,2735,2646,2501,2449,2310,2135,2003,1876,1811,1707,1630,1533,1410,1333,1255,1188,1095,1045,1001,954,900,863,836,816,777,747,718,690,679,675,655,635,625,595,571,567,573,592,574,582,574,582,585,578,572,577,571,537,511,474
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,3,4,5,6,13,16,16,16,16,16,16,16,16,16,16,15,14,13,11,4,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,6,5,6,6,6,7,7,7,7,7,7,6,6,6,6,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,4,4,4,4,4,5,5,5,5,7,5,5,5,5,4,4,4,4,4,5,4,4,5,5,4,4,3,3,3,3,3,3,3,5,4,4,4,3,3,2,2,2,2,2,2,3,3,3,1,1,2,2,3,4,4,5,5,5,6,6,5,5,5,6,6,6,7,6,8,10,11,12,13,15,17,17,20,21,22,25,25,29,31,30,33,36,39,41,41,45,50,54,58,57,64,67,65,67,71,70,73,74,75,86,91,88,83,82,86,78,78,77,76,72,71,67,66,65,56,48,49,49,54,56,63,67,74,74,78,80,92,92,93,93,95,95,94,103,97,90,84,82,86,91,109,98,110,117,128,152,171,189,198,219,245,262,272,287,297,307,323,334,348,363,345,331,329,311,291,264,245,230,208,187
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,5,5,5,5,5,5,5,5,4,4,3,2,2,2,3,2,5,8,9,11,13,17,19,20,26,28,32,32,33,34,34,34,32,34,35,35,35,37,39,35,34,30,30,31,29,29,27,27,24,21,19,16,12,9,8,7,7,6,6,6,7,6,5,5,5,5,4,4,4,3,3,4,4,3,3,2,3,4,4,4,4,4,5,5,6,7,6,7,8,12,12,13,14,16,17,19,20,20,22,21,23,25,26,25,23,25,29,32,35,38,41,46,51,54,60,65,71,81,88,94,99,101,111,121,130,134,135,143,150,159,157,166,167,172,176,183,191,185,181,181,183,186,180,185,184,180,180,170,164,161,161,161,164,173,178,198,212,237,254,270,299,303,341,348,377,387,412,431,453,489,493,531,562,601,662,729,798,841,923,1010,1077,1149,1248,1328,1390,1526,1637,1766,1897,1996,2099,2214,2379,2498,2578,2743,2890,3021,3135,3315,3393,3448,3518,3632,3715,3885,4026,4076,4154,4286,4439,4578,4647,4900,4980,5084,5320,5490,5635,5732,5866,5940,6051,6219,6357,6591,6604,6749,6730,6816,6914,6929,6907,6865,7003,6970,6908,6892,6837,6718,6451,6518,6411,6276,6099,6007,5860,5791,5703,5507,5391,5298,5189,5033,4922,4884,4634,4493,4347,4247,4068,3933,3805,3653,3503,3283,3161,3031,2883,2794,2609,2517,2417,2364,2357,2317,2322,2298,2253,2239,2240,2228,2198,2256,2235,2257,2316,2356,2399,2358,2411,2399,2430,2490,2539,2605,2666,2766,2803,2866,2874,2902,2961,2976,3012,2911,2755,2542
"16",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,4,6,6,6,6,6,6,7,6,8,12,14,18,21,22,22,22,24,25,28,31,37,40,42,49,52,52,59,64,69,77,85,94,101,106,112,111,114,121,117,121,130,124,119,122,120,117,111,112,111,109,108,108,103,102,95,85,86,87,82,82,81,79,78,79,78,78,74,75,74,77,80,79,81,84,82,82,85,81,76,74,78,80,80,82,80,87,89,90,87,91,94,100,111,122,126,131,138,144,152,167,165,180,188,199,217,224,227,228,223,232,234,235,237,234,226,229,225,236,247,242,256,268,272,295,309,324,350,365,381,396,417,448,452,473,497,509,540,584,640,707,754,828,905,1028,1136,1221,1285,1371,1451,1523,1628,1665,1734,1766,1786,1817,1843,1848,1823,1822,1848,1849,1865,1860,1866,1893,1962,2024,2070,2109,2139,2126,2198,2267,2353,2346,2422,2468,2534,2615,2692,2727,2721,2748,2796,2840,2930,2978,3013,2977,3020,3068,3111,3168,3172,3148,3149,3163,3240,3336,3466,3570,3620,3630,3818,3922,4000,4037,4233,4357,4431,4602,4763,4902,4875,4949,4974,4993,5096,5071,5064,5109,5236,5137,5073,5084,5049,4985,4891,5007,4901,4837,4796,4730,4666,4680,4634,4512,4452,4393,4349,4295,4264,4210,4057,3984,3872,3794,3677,3597,3513,3391,3291,3168,3189,3089,3015,2954,2876,2838,2772,2777,2726,2803,2825,2822,2810,2802,2797,2711,2720,2711,2733,2734,2739,2790,2819,2890,2878,2882,2915,2967,3046,3129,3248,3335,3328,3288,3278,3250,3233,3288,3258,3144,2937,2722
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,3,3,3,3,3,3,4,4,4,4,4,5,6,6,6,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,4,4,4,5,6,7,9,12,12,15,15,18,26,28,30,31,34,34,37,39,41,43,43,48,52,62,73,71,77,91,106,123,137,157,177,205,234,260,287,309,365,389,435,463,520,555,579,646,701,733,776,800,825,871,942,978,1009,1067,1153,1156,1189,1246,1307,1338,1385,1420,1496,1572,1644,1660,1656,1739,1748,1713,1737,1770,1806,1777,1779,1810,1775,1781,1773,1694,1672,1688,1641,1620,1638,1649,1624,1589,1613,1590,1557,1557,1509,1474,1492,1479,1467,1469,1433,1431,1395,1381,1374,1337,1326,1321,1328,1342,1316,1286,1257,1193,1129,1117,1053,1019,985,922,845,814,764,717,640,604,566,539,529,516,504,500,492,475,473,479,471,453,439,424,434,430,416,408,398,373,353,337,316,300,286,261,248,234,238,215,208,205,194,189,204,201,199,207,213,226,232,241,259,271,277,282,285,284,283,266,265,270,266,251,223,203
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,2,2,3,3,3,3,3,3,3,4,4,4,2,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,5,6,6,6,7,8,9,10,10,13,16,24,27,31,36,51,57,64,68,73,80,83,85,93,90,96,90,91,88,84,70,67,64,62,57,52,50,52,46,50,48,51,57,67,71,85,94,133,167,212,241,284,321,348,363,365,370,368,369,375,371,370,352,332,314,303,289,276,293,306,338,385,416,442,477,668,836,1037,1261,1415,1476,1663,1864,1907,2019,2050,2092,2143,2144,2193,2028,1877,1704,1518,1357,1304,1110,898,835,721,675,605,534,529,463,455,459,434,416,427,423,428,443,454,477,496,503,511,491,474,470,482,502,529,550,571,589,624,633,624,607,617,624,645,702,708,704,674,636,624,612,598,541,495,451
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,5,5,5,5,7,8,9,10,10,11,11,11,10,10,11,10,10,10,10,8,7,6,6,6,5,5,5,5,5,4,3,3,3,3,3,3,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,2,2,2,2,4,4,5,5,5,5,5,5,5,5,3,3,5,5,5,3,3,3,3,3,3,4,4,4,4,4,4,3,3,5,7,8,8,10,11,14,17,18,19,24,31,36,35,40,43,42,44,44,47,48,49,48,52,56,60,60,68,78,75,75,84,92,105,107,112,143,179,201,222,244,259,272,295,350,410,442,470,518,570,622,634,681,731,778,833,890,974,1048,1090,1161,1246,1336,1449,1553,1648,1813,1908,1977,2030,2099,2189,2221,2301,2327,2319,2318,2306,2230,2185,2140,2034,1963,1921,1887,1813,1724,1675,1563,1502,1430,1372,1314,1248,1191,1131,1066,977,908,832,779,718,636,578,524,478,424,387,369,324,287,256,242,219,211,195,187,187,175,179,180,174,162,154,142,133,129,128,118,114,109,103,99,97,90,90,89,83,78,75
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,5,7,6,7,9,11,16,17,18,20,24,24,26,27,27,27,25,25,25,25,23,19,18,18,17,14,13,11,10,9,8,7,7,6,4,6,5,6,9,8,7,8,8,8,8,8,9,9,9,9,7,7,6,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,2,2,2,4,4,4,4,5,5,3,4,4,5,5,5,5,7,10,10,13,14,18,21,29,40,54,67,87,107,147,168,185,198,209,215,220,229,238,244,246,241,241,239,266,252,257,264,283,287,297,312,338,366,368,381,391,400,409,394,403,416,464,478,492,506,511,529,541,563,571,592,604,631,647,669,657,629,632,642,648,688,680,686,705,719,736,755,743,744,730,758,771,792,819,862,881,887,911,945,974,983,1001,1049,1075,1129,1151,1161,1170,1195,1209,1218,1251,1268,1273,1290,1355,1402,1432,1487,1490,1508,1573,1643,1718,1758,1809,1881,1933,1951,1983,2001,2007,2014,2014,1979,2001,1999,1983,1971,1965,1941,1924,1852,1881,1902,1877,1903,1919,1927,1973,2024,2040,2071,2074,2113,2132,2090,2149,2152,2132,2160,2137,2110,2107,2163,2175,2161,2126,2120,2101,2112,2184,2204,2222,2260,2300,2343,2382,2404,2414,2439,2472,2496,2510,2490,2503,2478,2433,2395,2385,2406,2415,2459,2424,2300,2101
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,4,4,5,7,11,19,25,34,47,64,82,93,107,120,138,143,153,167,176,184,182,183,182,174,158,143,133,123,114,98,92,88,75,68,60,57,52,49,48,49,46,47,44,41,41,42,36,36,33,31,29,28,25,21,21,22,20,21,20,18,17,19,17,19,19,20,21,22,24,26,24,25,24,25,26,26,26,28,27,27,26,26,25,25,25,34,38,37,36,38,37,36,37,39,37,41,48,52,60,65,68,83,87,89,91,96,101,104,102,105,105,103,104,102,103,98,86,92,97,108,118,130,137,151,168,184,201,220,245,257,280,318,345,361,379,399,421,456,502,555,588,614,655,721,778,877,942,987,1042,1118,1204,1260,1366,1432,1496,1588,1677,1779,1855,2018,2194,2366,2641,2877,3150,3442,3878,4228,4594,4958,5464,5799,6168,6565,7032,7402,7764,8116,8486,8747,9278,9516,9807,10130,10438,10608,10889,11298,11563,11670,11887,12152,12389,12802,13263,13383,13621,13867,14232,14578,14840,15432,15676,16005,16526,16843,17206,17380,17713,17922,18202,18514,18872,19284,19494,20027,20216,20390,20540,20660,20728,20812,21298,21412,21438,21297,21205,21064,20662,20702,20284,19841,19475,19213,18667,18495,18300,17696,17078,16634,16312,16038,15719,15660,15267,14987,14745,14737,14522,14544,14564,14399,14238,14089,14026,13857,13584,13468,13157,12950,12745,12616,12338,12102,11938,11446,11014,10724,10485,10201,10050,9974,9776,9558,9394,9285,9182,9039,9066,8871,8723,8618,8536,8545,8497,8433,8292,8116,7892,7712,7572,7294,6933,6386,5848,5376
"22",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,4,5,5,6,6,8,9,8,8,9,8,10,9,9,9,8,8,8,7,7,5,4,4,4,3,3,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,1,1,1,1,1,2,2,2,3,3,2,2,3,4,4,4,4,4,4,4,3,3,3,2,3,3,3,2,2,2,2,2,3,4,4,4,4,6,9,10,13,14,16,18,23,30,33,37,38,48,55,58,62,67,71,77,82,84,91,96,94,109,116,129,131,142,153,160,163,188,199,203,212,219,227,247,252,267,269,281,275,277,301,306,299,300,311,326,323,328,348,348,373,395,410,436,457,473,494,504,549,570,577,625,683,697,738,847,1031,1192,1362,1581,1728,1876,2055,2196,2427,2610,2667,2725,2856,3021,3139,3179,3260,3180,3100,3059,3060,3061,3090,2941,2830,2791,2872,2883,2813,2733,2704,2649,2714,2729,2885,2943,2996,2999,3105,3152,3270,3268,3197,3190,3144,3069,2904,2817,2747,2546,2397,2251,2068,1856,1720,1545,1356,1242,1124,1014,877,855,782,689,606,535,458,440,439,444,461,458,478,463,450,472,500,491,491,482,501,543,551,613,600,563,542
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,3,3,3,3,5,6,13,21,31,34,38,42,45,49,51,58,62,64,66,66,69,63,60,54,55,53,50,48,46,48,41,40,39,41,42,41,42,38,37,34,31,32,32,30,28,31,30,32,28,25,22,21,20,17,16,16,14,13,14,11,9,7,5,5,5,5,4,4,4,4,5,5,5,4,4,2,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,0,0,1,1,3,3,3,3,3,3,3,3,5,6,10,13,17,21,24,23,28,35,42,44,46,54,58,59,58,57,56,54,56,58,65,73,74,79,94,116,129,158,190,236,283,330,399,445,485,548,599,679,751,837,894,931,971,990,1005,1012,1046,1021,1001,1014,987,964,914,875,816,777,778,747,735,712,699,674,683,710,712,722,731,732,736,732,733,721,742,747,759,763,770,770,770,779,784,781,832,865,910,935,978,992,1053,1090,1125,1161,1252,1311,1383,1514,1662,1765,1854,1957,2084,2163,2343,2439,2560,2663,2797,2936,3040,3132,3214,3235,3244,3252,3250,3238,3256,3156,3104,3034,2987,2880,2712,2613,2487,2356,2229,2121,2045,1964,1898,1823,1774,1732,1692,1648,1626,1621,1604,1602,1538,1538,1537,1534,1519,1463,1427,1382,1343,1306,1282,1245,1209,1163,1127,1115,1067,1022,977,938,929,907,881,842,817,796,784,758,744,714,698,709,714,711,690,681,653,653,658,660,634,599,580,563,565,539,499,452,400,374
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,6,6,9,11,15,18,19,21,22,27,28,28,28,31,31,30,31,29,27,24,22,20,18,17,13,12,11,11,7,6,6,7,7,8,10,10,11,11,12,11,12,12,12,13,14,14,12,11,11,9,9,8,8,7,8,8,8,8,7,6,5,5,5,4,4,4,4,4,4,4,3,5,6,6,7,7,7,7,9,8,7,7,8,8,7,7,5,4,4,3,3,3,5,3,4,4,5,4,4,4,4,4,4,5,7,8,8,9,11,10,10,10,13,14,15,15,16,19,19,18,17,18,15,13,18,18,17,15,21,24,32,37,37,44,56,64,75,89,105,108,119,135,145,152,155,156,166,183,203,210,225,236,253,270,291,326,373,423,488,562,642,718,849,969,1133,1242,1377,1465,1572,1661,1777,1871,1949,1999,2105,2158,2248,2305,2328,2373,2453,2504,2586,2665,2785,2830,2899,2967,3012,3017,3113,3173,3197,3190,3223,3242,3297,3470,3483,3501,3588,3603,3649,3754,3854,3922,3884,3840,3900,3877,3875,3852,3703,3783,3724,3715,3717,3713,3703,3692,3620,3638,3635,3615,3604,3591,3563,3530,3381,3356,3171,3102,3014,2865,2725,2631,2530,2481,2384,2315,2231,2120,2048,1994,1950,1926,1859,1829,1790,1722,1666,1621,1561,1514,1417,1345,1285,1215,1153,1073,1033,976,879,825,794,739,690,662,632,613,599,598,583,584,569,569,547,537,536,519,513,501,476,469,447,422,404,391,378,353,318,292
